Source,Target,Weight
HOUND,ROBERT,6
HUGH_OF_THE_VALE,NED,6
JAIME,JOFFREY,6
JEOR,OTHELL_YARWYCK,6
JEOR,OTHOR,6
LITTLEFINGER,MOUNTAIN,6
LITTLEFINGER,TYRION,6
MAESTER_AEMON,PYP,6
MAESTER_AEMON,SAM,6
NED,SYRIO_FOREL,6
NED,TOMARD,6
OTHELL_YARWYCK,SAM,6
PYP,TYRION,6
RAST,SAM,6
SHAGGA,TYWIN,6
ARYA,BAELOR,5
ARYA,BRAN,5
ARYA,HOT_PIE,5
ARYA,LITTLEFINGER,5
ARYA,MERYN_TRANT,5
ARYA,MYCAH,5
BARRISTAN,JOFFREY,5
BENJEN,ROBB,5
BENJEN,YOREN,5
BRAN,RODRIK,5
BRONN,LYSA,5
BRONN,SHAGGA,5
BRONN,TYWIN,5
CATELYN,MORD,5
DAENERYS,ROBERT,5
DOREAH,IRRI,5
DROGO,RAKHARO,5
GARED,ROYCE,5
GENDRY,TOBHO_MOTT,5
HOUND,LITTLEFINGER,5
HOUND,MOUNTAIN,5
JAIME,KEVAN,5
JAIME,LITTLEFINGER,5
JANOS,VARYS,5
JOFFREY,SEPTA_MORDANE,5
JON,OTHELL_YARWYCK,5
JON,OTHOR,5
JON_ARRYN,LITTLEFINGER,5
JON_ARRYN,LYSA,5
JONOS_BRACKEN,ROBB,5
JORAH,QOTHO,5
LYSA,MORD,5
MAESTER_LUWIN,NED,5
MARILLION,RODRIK,5
MARILLION,TYRION,5
MASHA_HEDDLE,TYRION,5
MOUNTAIN,NED,5
RENLY,SANSA,5
ROBB,ROBERT,5
ROBB,TYWIN,5
ROBB,WALDER,5
ROBERT,STANNIS,5
AERYS,RICKARD_STARK,4
ALLISER_THORNE,RAST,4
ARYA,ILYN_PAYNE,4
BAELOR,YOREN,4
BARRISTAN,JAIME,4
BARRISTAN,LITTLEFINGER,4
BARRISTAN,PYCELLE,4
BRAN,CERSEI,4
BRONN,VARDIS_EGEN,4
CATELYN,JON_ARRYN,4
CATELYN,MARILLION,4
CATELYN,TYWIN,4
CERSEI,HOUND,4
DAENERYS,VARYS,4
DAREON,JON,4
DAREON,SAM,4
GARED,WILL,4
GRENN,JEOR,4
HOUND,LORAS,4
HUGH_OF_THE_VALE,LITTLEFINGER,4
ILYN_PAYNE,JOFFREY,4
ILYN_PAYNE,NED,4
ILYN_PAYNE,SANSA,4
ILYN_PAYNE,YOREN,4
JAIME,ROS,4
JAIME,THEON,4
JORY_CASSEL,ROBERT,4
LANCEL,NED,4
LITTLEFINGER,SEPTA_MORDANE,4
LITTLEFINGER,TYWIN,4
LORAS,MOUNTAIN,4
LORAS,NED,4
LORAS,SANSA,4
LYANNA,NED,4
MIRRI_MAZ_DUUR,RAKHARO,4
MOUNTAIN,ROBERT,4
MOUNTAIN,SANSA,4
MYCAH,SANSA,4
NED,RICKARD_STARK,4
OLD_NAN,ROBB,4
ROYCE,WILL,4
RYGER_RIVERS,WALDER,4
SANSA,YOREN,4
SHAE,TYWIN,4
STEVRON_FREY,WALDER,4
WAYMAR_ROYCE,WILL,4
ADDAM_MARBRAND,KEVAN,3
ADDAM_MARBRAND,LEO_LEFFORD,3
AERYS,JAIME,3
AERYS,RHAEGAR,3
ALLISER_THORNE,OTHELL_YARWYCK,3
ARYA,JAIME,3
ARYA,PYCELLE,3
ASSASSIN,CATELYN,3
BAELOR,ILYN_PAYNE,3
BALON,THEON,3
BARRISTAN,LANCEL,3
BARRISTAN,RENLY,3
BERIC,NED,3
BRAN,WILL,3
BRANDON_STARK,NED,3
BRONN,MORD,3
BRONN,ROBIN,3
CATELYN,HOSTER,3
CATELYN,JOFFREY,3
CATELYN,MASHA_HEDDLE,3
CATELYN,YOREN,3
CERSEI,ILYN_PAYNE,3
CERSEI,JON,3
CERSEI,JON_ARRYN,3
CERSEI,LANCEL,3
CERSEI,RENLY,3
CERSEI,TYWIN,3
COHOLLO,DROGO,3
DAENERYS,NED,3
DOREAH,DROGO,3
DOREAH,WINE_MERCHANT,3
GENDRY,HOT_PIE,3
GREATJON_UMBER,JAIME,3
GREATJON_UMBER,TYWIN,3
HODOR,ROBB,3
HODOR,THEON,3
HODOR,TYRION,3
HOSTER,WALDER,3
HOUND,ILYN_PAYNE,3
IRRI,JHIQUI,3
IRRI,VISERYS,3
JANOS,RENLY,3
JEOR,NED,3
JEOR,ROBERT,3
JOFFREY,RENLY,3
JOFFREY,TYWIN,3
JOFFREY,YOREN,3
JON,ROBERT,3
JON,WILL,3
JON_ARRYN,PYCELLE,3
JON_ARRYN,ROBIN,3
JORAH,RHAEGO,3
LITTLEFINGER,STANNIS,3
LORAS,ROBERT,3
LYANNA,ROBERT,3
MERYN_TRANT,NED,3
MORD,ROBIN,3
MORD,VARDIS_EGEN,3
MYCAH,NED,3
MYRCELLA,TYRION,3
NED,PYP,3
NED,WILL,3
OSHA,RICKON,3
QOTHO,RAKHARO,3
RAKHARO,VISERYS,3
RAKHARO,WINE_MERCHANT,3
RAST,TYRION,3
RENLY,ROBB,3
RICKON,ROBB,3
ROBIN,VARDIS_EGEN,3
THEON,WALDER,3
VARYS,YOREN,3
ADDAM_MARBRAND,TYWIN,2
AEGON,AERYS,2
AEGON,MAESTER_AEMON,2
AERYS,BARRISTAN,2
AERYS,CATELYN,2
AERYS,JORAH,2
AERYS,MAESTER_AEMON,2
AERYS,RENLY,2
AERYS,SANSA,2
AERYS,SEPTA_MORDANE,2
ALLISER_THORNE,MAESTER_AEMON,2
ARYA,ILLYRIO,2
ARYA,LOMMY_GREENHANDS,2
ARYA,TYRION,2
ASSASSIN,BRAN,2
ASSASSIN,ROBB,2
BAELOR,CERSEI,2
BAELOR,HOUND,2
BAELOR,JOFFREY,2
BAELOR,PYCELLE,2
BAELOR,SANSA,2
BALON,TYRION,2
BENJEN,CATELYN,2
BENJEN,CERSEI,2
BENJEN,JEOR,2
BENJEN,ROBERT,2
BERIC,ROBERT,2
BORCAS,DAREON,2
BORCAS,PYP,2
BOWEN_MARSH,DAREON,2
BOWEN_MARSH,PYP,2
BRAN,BRANDON_STARK,2
BRAN,HOUND,2
BRANDON_STARK,CATELYN,2
BRANDON_STARK,JON,2
BRANDON_STARK,RICKARD_STARK,2
BRONN,KEVAN,2
BRONN,MARILLION,2
CATELYN,DAENERYS,2
CATELYN,HOUND,2
CATELYN,STEVRON_FREY,2
CERSEI,JEOR,2
CERSEI,LYANNA,2
CERSEI,MERYN_TRANT,2
CERSEI,ROS,2
CERSEI,STANNIS,2
CERSEI,YOREN,2
DAENERYS,JHIQUI,2
DAENERYS,SANSA,2
DAREON,GRENN,2
DAREON,JEOR,2
DAREON,LUKE,2
DAREON,MAESTER_AEMON,2
DAREON,RAST,2
DOREAH,IROGENIA,2
DOREAH,JHIQUI,2
DOREAH,JORAH,2
DROGO,IRRI,2
DROGO,ROBERT,2
GALBART_GLOVER,GREATJON_UMBER,2
GALBART_GLOVER,JONOS_BRACKEN,2
GALBART_GLOVER,ROBB,2
GENDRY,VARYS,2
GENDRY,YOREN,2
GREATJON_UMBER,NED,2
GREATJON_UMBER,RENLY,2
GREATJON_UMBER,RICKARD_KARSTARK,2
GREATJON_UMBER,STANNIS,2
GREATJON_UMBER,WALDER,2
HIGH_SEPTON,NED,2
HODOR,OSHA,2
HOUND,JAIME,2
HOUND,ROBB,2
HOUND,YOREN,2
HUGH_OF_THE_VALE,JON_ARRYN,2
HUGH_OF_THE_VALE,MOUNTAIN,2
HUGH_OF_THE_VALE,SANSA,2
ILLYRIO,JORAH,2
ILYN_PAYNE,MERYN_TRANT,2
ILYN_PAYNE,VARYS,2
JAIME,JON_ARRYN,2
JAIME,RICKARD_STARK,2
JAIME,SANSA,2
JAIME,TYSHA,2
JANOS,LITTLEFINGER,2
JANOS,PYCELLE,2
JAREMY_RYKKER,JEOR,2
JAREMY_RYKKER,OTHELL_YARWYCK,2
JAREMY_RYKKER,PYP,2
JEOR,JOFFREY,2
JOANNA,TYRION,2
JOFFREY,JON,2
JOFFREY,TOMMEN,2
JOFFREY,WILL,2
JON,RODRIK,2
JON,ROS,2
JON_ARRYN,VARYS,2
JORAH,LITTLE_BIRD,2
JORAH,NED,2
JORAH,VARYS,2
JORY_CASSEL,MHAEGEN,2
JORY_CASSEL,THEON,2
JOYEUSE,WALDER,2
KEVAN,LEO_LEFFORD,2
KEVAN,SHAGGA,2
LANCEL,RENLY,2
LEO_LEFFORD,TYRION,2
LITTLEFINGER,LORAS,2
LITTLEFINGER,MHAEGEN,2
LITTLEFINGER,YOREN,2
LORAS,MACE,2
LUKE,PYP,2
MAESTER_LUWIN,ROBERT,2
MAESTER_LUWIN,RODRIK,2
MAESTER_LUWIN,SANSA,2
MARILLION,MERYN_TRANT,2
MARILLION,YOREN,2
MELESSA,SAM,2
MORD,RODRIK,2
NED,ROOSE_BOLTON,2
NED,ROS,2
NED,STEFFON,2
NED,VARLY,2
OLD_NAN,THEON,2
OTHELL_YARWYCK,PYP,2
OTHOR,PYP,2
OTHOR,SAM,2
PYCELLE,TYWIN,2
PYCELLE,YOREN,2
RANDYLL,SAM,2
RENLY,TOMARD,2
RHAEGAR,ROBERT,2
RHAEGO,VISERYS,2
RICKARD_KARSTARK,ROBB,2
RICKARD_KARSTARK,THEON,2
ROBB,STANNIS,2
ROBB,VARYS,2
ROBERT,ROS,2
ROBERT,TOMMEN,2
RODRIK,TYWIN,2
SANSA,STANNIS,2
STANNIS,TOMARD,2
THEON,WILL,2
TYRION,TYSHA,2
TYRION,VARYS,2
CERSEI,TYRION,177
DAENERYS,JORAH,119
ARYA,JAQEN,113
DAVOS,STANNIS,111
JON,YGRITTE,110
ROBB,TALISA,108
ARYA,TYWIN,103
TYRION,VARYS,103
SHAE,TYRION,95
BRONN,TYRION,87
THEON,YARA,87
CATELYN,ROBB,82
DAENERYS,XARO,80
JOFFREY,TYRION,79
ARYA,GENDRY,78
CERSEI,SANSA,73
JON,QHORIN,71
SANSA,SHAE,60
BALON,THEON,59
DAENERYS,SPICE_KING,58
DAVOS,MATTHOS,57
MELISANDRE,STANNIS,57
BRAN,OSHA,56
JOFFREY,SANSA,56
BRIENNE,CATELYN,54
CERSEI,JOFFREY,50
BRIENNE,JAIME,49
PYCELLE,TYRION,49
DAGMER,THEON,48
HOUND,JOFFREY,48
MAESTER_LUWIN,THEON,48
BRAN,THEON,47
ALTON,JAIME,46
ARYA,HOT_PIE,43
DAVOS,MELISANDRE,40
HOUND,SANSA,40
RENLY,STANNIS,40
JANOS,TYRION,39
JON,SAM,39
LORAS,TYRION,38
JEOR,JON,37
LANCEL,TYRION,37
PODRICK,TYRION,37
OSHA,THEON,36
MARGAERY,RENLY,35
EDDISON_TOLLETT,SAM,34
GRENN,SAM,34
ROBB,ROOSE_BOLTON,34
LITTLEFINGER,TYRION,33
BRAN,RICKON,32
BRIENNE,RENLY,31
DAENERYS,KOVARRO,31
JAIME,ROBB,31
CATELYN,RENLY,30
BRAN,MAESTER_LUWIN,29
CRASTER,JEOR,29
HOUND,TYRION,29
BRAN,HODOR,28
GENDRY,HOT_PIE,28
LITTLEFINGER,MARGAERY,28
LITTLEFINGER,TYWIN,28
QHORIN,YGRITTE,28
CERSEI,LITTLEFINGER,27
DAVOS,SALLADHOR,27
EDDISON_TOLLETT,GRENN,27
CATELYN,JAIME,25
CERSEI,TOMMEN,25
SANSA,TYRION,25
CATELYN,LITTLEFINGER,24
CERSEI,LANCEL,24
GILLY,SAM,24
LORAS,RENLY,24
DAENERYS,PYATT_PREE,23
LORAS,MARGAERY,23
RODRIK,THEON,23
ALTON,ROBB,22
HODOR,OSHA,22
ROS,VARYS,22
BLACK_LORREN,THEON,21
CERSEI,SHAE,21
MATTHOS,STANNIS,21
ROBB,THEON,21
ARYA,YOREN,20
DAENERYS,DOREAH,20
LITTLEFINGER,RENLY,20
SPICE_KING,XARO,20
STANNIS,TYRION,20
BRAN,RODRIK,18
JORAH,QUAITHE,18
CAPTAINS_DAUGHTER,THEON,17
CATELYN,RICKARD_KARSTARK,17
CERSEI,PYCELLE,17
CRASTER,JON,17
DAISY,ROS,17
AMORY,ARYA,16
ARYA,RORGE,16
CRESSEN,DAVOS,16
HODOR,RICKON,16
LORD_OF_BONES,YGRITTE,16
BALON,YARA,15
CERSEI,TYWIN,15
DAENERYS,IRRI,15
JORAH,KOVARRO,15
LITTLEFINGER,LORAS,15
OSHA,RICKON,15
AMORY,TYWIN,14
MAESTER_LUWIN,OSHA,14
MATTHOS,SALLADHOR,14
BRONN,HOUND,13
CATELYN,STANNIS,13
CERSEI,JAIME,13
DONTOS,JOFFREY,13
DOREAH,XARO,13
HAYLENE,TYRION,13
JEOR,QHORIN,13
JOFFREY,MERYN_TRANT,13
LITTLEFINGER,ROS,13
MERYN_TRANT,TYRION,13
MYRCELLA,TYRION,13
CERSEI,MYRCELLA,12
DAENERYS,RAKHARO,12
DAVOS,RENLY,12
JAIME,TYRION,12
JOFFREY,LANCEL,12
JOFFREY,ROBB,12
JON,LORD_OF_BONES,12
JORAH,XARO,12
MOUNTAIN,TYWIN,12
NED,ROBB,12
RICKARD_KARSTARK,ROBB,12
BRONN,VARYS,11
CATELYN,TALISA,11
CERSEI,JANOS,11
CERSEI,VARYS,11
SHAE,VARYS,11
TYRION,TYWIN,11
BRONN,HAYLENE,10
CRESSEN,MELISANDRE,10
DAENERYS,DROGO,10
GILLY,JON,10
HOT_PIE,LOMMY,10
JEOR,SAM,10
KOVARRO,XARO,10
MERYN_TRANT,SANSA,10
NED,TYRION,10
PODRICK,VARYS,10
QHORIN,LORD_OF_BONES,10
ALTON,CERSEI,9
BRONN,JOFFREY,9
CATELYN,LORAS,9
HODOR,MAESTER_LUWIN,9
HOUND,LANCEL,9
JAQEN,RORGE,9
JOFFREY,ROS,9
JOFFREY,STANNIS,9
JOFFREY,TYWIN,9
KEVAN,TYWIN,9
LITTLEFINGER,SANSA,9
LITTLEFINGER,VARYS,9
MANCE,QHORIN,9
PYATT_PREE,XARO,9
SANSA,TOMMEN,9
AMORY,YOREN,8
ARYA,BITER,8
ARYA,LITTLEFINGER,8
BALON,ROBB,8
BITER,RORGE,8
CATELYN,JACKS,8
CATELYN,NED,8
EDDISON_TOLLETT,JON,8
JAIME,TYWIN,8
JOFFREY,LORAS,8
JOFFREY,MYRCELLA,8
LITTLEFINGER,STANNIS,8
MANDON,TYRION,8
MELISANDRE,RENLY,8
PYCELLE,VARYS,8
REGINALD,TYWIN,8
RENLY,ROBB,8
ROBB,TYWIN,8
ARYA,CERSEI,7
ARYA,POLLIVER,7
ARYA,ROBB,7
BLACK_LORREN,DAGMER,7
BRAN,ROBB,7
BRIENNE,JACKS,7
BRIENNE,LORAS,7
DAISY,JOFFREY,7
DOREAH,JORAH,7
GENDRY,YOREN,7
JAIME,JOFFREY,7
JOFFREY,LITTLEFINGER,7
JOFFREY,VARYS,7
THEON,WINTERFELL_SHEPHERD,7
ARYA,LOMMY,6
ARYA,MOUNTAIN,6
ARYA,SANSA,6
BRAN,DAGMER,6
BRAN,FARLEN,6
BRONN,LANCEL,6
BRONN,PYCELLE,6
CATELYN,SANSA,6
CERSEI,HOUND,6
CERSEI,NED,6
CERSEI,ROBERT,6
CRASTER,GILLY,6
GENDRY,TICKLER,6
GRENN,JON,6
JOFFREY,TOMMEN,6
LOMMY,POLLIVER,6
MANCE,YGRITTE,6
MANDON,PODRICK,6
RICKON,THEON,6
ROBB,STANNIS,6
ROOSE_BOLTON,TALISA,6
ALTON,TORRHEN,5
ARYA,CATELYN,5
ARYA,JOFFREY,5
ARYA,TICKLER,5
BALON,NED,5
BITER,JAQEN,5
BRIENNE,MARGAERY,5
BRIENNE,ROBB,5
BRIENNE,STANNIS,5
BRONN,MERYN_TRANT,5
CATELYN,MARGAERY,5
CATELYN,TYRION,5
CERSEI,LORAS,5
CERSEI,STANNIS,5
CRASTER,SAM,5
CRESSEN,STANNIS,5
DAGMER,MAESTER_LUWIN,5
DROWNED_PRIEST,THEON,5
GERARD,RENLY,5
HODOR,THEON,5
HOUND,MERYN_TRANT,5
JAIME,NED,5
JOFFREY,PODRICK,5
JOFFREY,ROBERT,5
JON,MANCE,5
JORAH,PYATT_PREE,5
LORAS,STANNIS,5
MAESTER_LUWIN,RODRIK,5
MYRCELLA,SANSA,5
MYRCELLA,TOMMEN,5
NED,THEON,5
PYCELLE,TIMETT,5
QHORIN,SAM,5
ROBB,RODRIK,5
ROBB,SANSA,5
ROBERT,STANNIS,5
TYWIN,VARYS,5
AERYS,JAIME,4
ALTON,RICKARD_KARSTARK,4
ARYA,NED,4
BARRA,MHAEGEN,4
BRONN,SANSA,4
BRONN,TIMETT,4
CATELYN,COLEN,4
CATELYN,ROOSE_BOLTON,4
CERSEI,PODRICK,4
CERSEI,ROBB,4
DAENERYS,QUAITHE,4
DAENERYS,RHAEGO,4
DAENERYS,SILK_KING,4
DAGMER,RICKON,4
DONTOS,MERYN_TRANT,4
DOREAH,IRRI,4
DOREAH,KOVARRO,4
EDDISON_TOLLETT,GILLY,4
GENDRY,JAQEN,4
GENDRY,LOMMY,4
GENDRY,TYWIN,4
HAYLENE,HOUND,4
HAYLENE,JOFFREY,4
HOUND,PODRICK,4
ILYN_PAYNE,SANSA,4
ILYN_PAYNE,SHAE,4
JAIME,RICKARD_KARSTARK,4
JAIME,STANNIS,4
JANOS,JOFFREY,4
JANOS,LITTLEFINGER,4
JANOS,MHAEGEN,4
JANOS,ROS,4
JOFFREY,MANDON,4
JOFFREY,MARGAERY,4
JON,NED,4
LANCEL,SANSA,4
LITTLEFINGER,PYCELLE,4
MAESTER_LUWIN,RICKON,4
MATTHOS,MELISANDRE,4
NED,ROBERT,4
NED,STANNIS,4
RICKARD_KARSTARK,TORRHEN,4
ROBB,YARA,4
STANNIS,VARYS,4
ALTON,TYRION,3
AMORY,JAQEN,3
AMORY,POLLIVER,3
ARYA,HOUND,3
ARYA,VISENYA,3
BLACK_LORREN,RODRIK,3
BRAN,JOFFREY,3
BRAN,WINTERFELL_SHEPHERD,3
BRONN,JANOS,3
BRONN,PODRICK,3
BRONN,TYWIN,3
CATELYN,JOFFREY,3
CERSEI,ILYN_PAYNE,3
CERSEI,MANDON,3
CERSEI,MERYN_TRANT,3
CRASTER,EDDISON_TOLLETT,3
DAENERYS,MALAKKO,3
DAGMER,OSHA,3
DAGMER,RODRIK,3
DROGO,RHAEGO,3
FARLEN,THEON,3
GENDRY,MOUNTAIN,3
GENDRY,RORGE,3
HOT_PIE,JAQEN,3
HOT_PIE,MOUNTAIN,3
HOUND,SHAE,3
IRRI,KOVARRO,3
IRRI,XARO,3
JAIME,MATTHOS,3
JAIME,ROBERT,3
JAIME,TORRHEN,3
JANOS,PODRICK,3
JANOS,VARYS,3
JAQEN,TYWIN,3
JOFFREY,NED,3
JOFFREY,PYCELLE,3
JOFFREY,TALISA,3
JON_ARRYN,NED,3
JORAH,SPICE_KING,3
KOVARRO,MALAKKO,3
KOVARRO,PYATT_PREE,3
LANCEL,STANNIS,3
LITTLEFINGER,ROBB,3
LITTLEFINGER,ROBIN,3
LORAS,PYCELLE,3
LORAS,TYWIN,3
MAESTER_LUWIN,PORTAN,3
MAESTER_LUWIN,WINTERFELL_SHEPHERD,3
MALAKKO,XARO,3
MANCE,LORD_OF_BONES,3
MOUNTAIN,POLLIVER,3
MYRCELLA,ROBIN,3
NED,VARYS,3
NED,YARA,3
PODRICK,PYCELLE,3
PODRICK,SHAE,3
PYATT_PREE,SPICE_KING,3
PYCELLE,ROBERT,3
PYCELLE,TYWIN,3
QUENT,ROBB,3
RENLY,ROBERT,3
ROBB,SEPTON,3
ROBERT,TYRION,3
ROBIN,TYRION,3
RORGE,YOREN,3
SANSA,TYWIN,3
SHAE,TOMMEN,3
STANNIS,TYWIN,3
THEON,VARYS,3
TIMETT,TYRION,3
TOMMEN,TYRION,3
AEGON,ARYA,2
AERYS,PYCELLE,2
AERYS,ROBERT,2
AERYS,TYWIN,2
ALTON,TALISA,2
AMORY,HOT_PIE,2
ARYA,KEVAN,2
ARYA,REGINALD,2
ARYA,RHAENYS,2
ARYA,SYRIO_FOREL,2
ARYA,TYRION,2
BALON,CATELYN,2
BARRA,JANOS,2
BENJEN,CRASTER,2
BILLY,RICKON,2
BITER,YOREN,2
BLACK_LORREN,MAESTER_LUWIN,2
BLACK_LORREN,OSHA,2
BOROS,JOFFREY,2
BRAN,CATELYN,2
BRAN,SANSA,2
BRIENNE,COLEN,2
BRIENNE,DAVOS,2
BRIENNE,LITTLEFINGER,2
BRIENNE,MELISANDRE,2
BRIENNE,RICKARD_KARSTARK,2
BRONN,CERSEI,2
BRONN,SHAE,2
CATELYN,DAVOS,2
CATELYN,MELISANDRE,2
CATELYN,RICKON,2
CERSEI,DAVOS,2
CERSEI,HAYLENE,2
CERSEI,JOANNA,2
CERSEI,MATTHOS,2
CERSEI,SALLADHOR,2
COLEN,LORAS,2
COLEN,MARGAERY,2
COLEN,RENLY,2
CRASTER,MANCE,2
CRESSEN,MATTHOS,2
DAGMER,FARLEN,2
DAGMER,HODOR,2
DAGMER,YARA,2
DAVOS,FATHER_SEAWORTH,2
DAVOS,JOFFREY,2
DAVOS,LORAS,2
DAVOS,MARYA,2
DAVOS,ROBB,2
DAVOS,ROBERT,2
DONTOS,SANSA,2
EDDISON_TOLLETT,JEOR,2
FARLEN,RICKON,2
