Source,Target,weight,book
Addam-Marbrand,Jaime-Lannister,3,1
Addam-Marbrand,Tywin-Lannister,6,1
Aegon-I-Targaryen,Daenerys-Targaryen,5,1
Aegon-I-Targaryen,Eddard-Stark,4,1
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,4,1
Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,4,1
Aemon-Targaryen-(Maester-Aemon),Chett,9,1
Aemon-Targaryen-(Maester-Aemon),Clydas,5,1
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,13,1
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,34,1
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,5,1
Aerys-II-Targaryen,Brandon-Stark,4,1
Aerys-II-Targaryen,Eddard-Stark,10,1
Aerys-II-Targaryen,Gerold-Hightower,3,1
Aerys-II-Targaryen,Jaime-Lannister,5,1
Aerys-II-Targaryen,Jon-Arryn,3,1
Aerys-II-Targaryen,Robert-Baratheon,12,1
Aggo,Daenerys-Targaryen,11,1
Aggo,Drogo,6,1
Aggo,Jhogo,4,1
Aggo,Jorah-Mormont,5,1
Aggo,Quaro,3,1
Aggo,Rakharo,7,1
Albett,Halder,3,1
Albett,Jon-Snow,5,1
Albett,Rast,3,1
Alliser-Thorne,Bowen-Marsh,3,1
Alliser-Thorne,Grenn,3,1
Alliser-Thorne,Halder,4,1
Alliser-Thorne,Jeor-Mormont,10,1
Alliser-Thorne,Jon-Snow,32,1
Alliser-Thorne,Pypar,4,1
Alliser-Thorne,Rast,5,1
Alliser-Thorne,Samwell-Tarly,8,1
Alliser-Thorne,Tyrion-Lannister,7,1
Alyn,Eddard-Stark,11,1
Alyn,Harwin,6,1
Alyn,Jory-Cassel,8,1
Alyn,Robert-Baratheon,4,1
Alyn,Tomard,3,1
Arthur-Dayne,Gerold-Hightower,4,1
Arya-Stark,Benjen-Stark,3,1
Arya-Stark,Bran-Stark,14,1
Arya-Stark,Catelyn-Stark,5,1
Arya-Stark,Cersei-Lannister,12,1
Arya-Stark,Desmond,3,1
Arya-Stark,Eddard-Stark,30,1
Arya-Stark,Ilyn-Payne,5,1
Arya-Stark,Jeyne-Poole,10,1
Arya-Stark,Joffrey-Baratheon,39,1
Arya-Stark,Jon-Snow,37,1
Arya-Stark,Jory-Cassel,12,1
Arya-Stark,Meryn-Trant,4,1
Arya-Stark,Mordane,39,1
Arya-Stark,Mycah,18,1
Arya-Stark,Myrcella-Baratheon,13,1
Arya-Stark,Petyr-Baelish,3,1
Arya-Stark,Rickon-Stark,7,1
Arya-Stark,Robb-Stark,15,1
Arya-Stark,Robert-Baratheon,8,1
Arya-Stark,Rodrik-Cassel,3,1
Arya-Stark,Sandor-Clegane,7,1
Arya-Stark,Sansa-Stark,104,1
Arya-Stark,Syrio-Forel,20,1
Arya-Stark,Tomard,6,1
Arya-Stark,Tommen-Baratheon,5,1
Arya-Stark,Vayon-Poole,4,1
Arya-Stark,Yoren,4,1
Arys-Oakheart,Cersei-Lannister,3,1
Balon-Greyjoy,Eddard-Stark,3,1
Balon-Greyjoy,Robert-Baratheon,4,1
Balon-Swann,Renly-Baratheon,3,1
Balon-Swann,Sandor-Clegane,3,1
Barristan-Selmy,Boros-Blount,3,1
Barristan-Selmy,Cersei-Lannister,12,1
Barristan-Selmy,Eddard-Stark,28,1
Barristan-Selmy,Jaime-Lannister,4,1
Barristan-Selmy,Joffrey-Baratheon,6,1
Barristan-Selmy,Jon-Arryn,4,1
Barristan-Selmy,Meryn-Trant,3,1
Barristan-Selmy,Petyr-Baelish,7,1
Barristan-Selmy,Pycelle,8,1
Barristan-Selmy,Renly-Baratheon,13,1
Barristan-Selmy,Robert-Baratheon,40,1
Barristan-Selmy,Sandor-Clegane,3,1
Barristan-Selmy,Sansa-Stark,3,1
Barristan-Selmy,Varys,9,1
Benjen-Stark,Bran-Stark,6,1
Benjen-Stark,Cersei-Lannister,3,1
Benjen-Stark,Jaremy-Rykker,3,1
Benjen-Stark,Jeor-Mormont,9,1
Benjen-Stark,Jon-Snow,41,1
Benjen-Stark,Luwin,7,1
Benjen-Stark,Mance-Rayder,3,1
Benjen-Stark,Robb-Stark,7,1
Benjen-Stark,Robert-Baratheon,3,1
Benjen-Stark,Theon-Greyjoy,4,1
Benjen-Stark,Tyrion-Lannister,8,1
Benjen-Stark,Waymar-Royce,3,1
Benjen-Stark,Yoren,4,1
Beric-Dondarrion,Eddard-Stark,3,1
Beric-Dondarrion,Gregor-Clegane,6,1
Beric-Dondarrion,Loras-Tyrell,5,1
Beric-Dondarrion,Robert-Baratheon,5,1
Beric-Dondarrion,Sansa-Stark,4,1
Beric-Dondarrion,Thoros-of-Myr,5,1
Boros-Blount,Cersei-Lannister,9,1
Boros-Blount,Joffrey-Baratheon,3,1
Boros-Blount,Meryn-Trant,5,1
Boros-Blount,Sansa-Stark,6,1
Bowen-Marsh,Jeor-Mormont,8,1
Bowen-Marsh,Jon-Snow,10,1
Bowen-Marsh,Samwell-Tarly,3,1
Bran-Stark,Catelyn-Stark,18,1
Bran-Stark,Cersei-Lannister,6,1
Bran-Stark,Eddard-Stark,19,1
Bran-Stark,Hali,3,1
Bran-Stark,Hallis-Mollen,3,1
Bran-Stark,Hodor,29,1
Bran-Stark,Hullen,3,1
Bran-Stark,Jeor-Mormont,4,1
Bran-Stark,Joffrey-Baratheon,3,1
Bran-Stark,Jon-Arryn,7,1
Bran-Stark,Jon-Snow,56,1
Bran-Stark,Jory-Cassel,11,1
Bran-Stark,Joseth,4,1
Bran-Stark,Luwin,65,1
Bran-Stark,Nan,17,1
Bran-Stark,Osha,12,1
Bran-Stark,Petyr-Baelish,3,1
Bran-Stark,Renly-Baratheon,3,1
Bran-Stark,Rickard-Karstark,4,1
Bran-Stark,Rickard-Stark,4,1
